FIPS,Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
10005,GovAid,12999000,14574000,14943000,16160000,17190000,20579000,20043000,19986000,19963000,21411000,24174000,23527000,25383000,25874000
10003,GovAid,40910000,45312000,45728000,48565000,50880000,59769000,56960000,55680000,54538000,58026000,64671000,62465000,66894000,68079000
10001,GovAid,64348000,71537000,72567000,77509000,81842000,96996000,93312000,91963000,90743000,96869000,108509000,105114000,112895000,114899000
11001,GovAid,46724000,50025000,49907000,52057000,54014000,62855000,59830000,58503000,57507000,62165000,70044000,69039000,75363000,77191000
12001,GovAid,17267000,19378000,19594000,20831000,21941000,26000000,25230000,24838000,24386000,25965000,28954000,28053000,30178000,30805000
12003,GovAid,1701000,1902000,1963000,2083000,2217000,2664000,2603000,2590000,2571000,2759000,3065000,2943000,3129000,3107000
12005,GovAid,12165000,13606000,13849000,14792000,15748000,18814000,18086000,17546000,17140000,18256000,20502000,19732000,21249000,21922000
12007,GovAid,1840000,2056000,2061000,2205000,2320000,2747000,2640000,2594000,2553000,2693000,2970000,2832000,3008000,2998000
12009,GovAid,39285000,44241000,45126000,48400000,51715000,61573000,58858000,57651000,56376000,59608000,66463000,63863000,68427000,69345000
12011,GovAid,135153000,152398000,155033000,164816000,173076000,204129000,192211000,184677000,179982000,191474000,215181000,210753000,227898000,231716000
12013,GovAid,951000,1042000,1050000,1132000,1186000,1433000,1373000,1354000,1332000,1418000,1581000,1521000,1610000,1601000
12015,GovAid,11721000,13309000,13666000,14710000,15711000,17985000,17217000,17004000,16613000,17473000,19472000,18726000,20209000,20401000
12017,GovAid,9774000,11041000,11259000,12108000,12945000,15542000,15147000,15048000,14758000,15525000,17222000,16368000,17339000,17489000
12019,GovAid,11754000,13374000,13875000,15056000,16418000,19853000,19772000,19842000,19624000,20960000,23575000,22738000,24390000,24719000
12021,GovAid,20914000,24064000,25121000,27393000,29543000,35758000,34395000,33599000,32920000,35027000,39425000,38460000,41529000,42155000
12023,GovAid,4501000,5010000,5086000,5481000,5829000,7032000,6878000,6751000,6618000,7016000,7803000,7458000,7968000,7888000
12027,GovAid,2433000,2709000,2734000,2934000,3107000,3594000,3438000,3359000,3247000,3435000,3861000,3693000,3944000,3823000
12029,GovAid,1064000,1205000,1237000,1309000,1383000,1653000,1614000,1593000,1560000,1667000,1856000,1782000,1862000,1863000
12031,GovAid,64110000,71797000,72716000,77330000,81342000,95719000,91908000,90199000,88154000,93721000,104801000,101423000,108913000,111606000
12033,GovAid,22899000,25374000,25462000,26755000,28242000,32936000,31251000,30282000,29352000,31088000,34708000,33432000,35940000,36504000
12035,GovAid,4204000,4958000,5327000,6092000,6980000,9025000,9351000,9749000,9800000,10491000,11824000,11522000,12385000,12576000
12037,GovAid,785000,879000,884000,932000,976000,1151000,1102000,1057000,1027000,1079000,1203000,1151000,1237000,1250000
12039,GovAid,3577000,3951000,3921000,4126000,4305000,5041000,4792000,4729000,4637000,4914000,5492000,5225000,5497000,5434000
12041,GovAid,1108000,1234000,1266000,1383000,1465000,1767000,1713000,1699000,1665000,1757000,1967000,1886000,1993000,1989000
12043,GovAid,811000,931000,960000,1028000,1106000,1330000,1259000,1226000,1197000,1270000,1412000,1351000,1417000,1366000
12045,GovAid,1003000,1105000,1115000,1187000,1241000,1465000,1404000,1361000,1322000,1387000,1541000,1477000,1560000,1614000
12047,GovAid,908000,1015000,1013000,1079000,1121000,1304000,1272000,1251000,1239000,1323000,1449000,1387000,1484000,1467000
12049,GovAid,2087000,2281000,2292000,2410000,2516000,2927000,2806000,2757000,2699000,2859000,3192000,3055000,3217000,3180000
12051,GovAid,2817000,3134000,3169000,3386000,3592000,4282000,4117000,4036000,3925000,4135000,4606000,4427000,4671000,4631000
12053,GovAid,10849000,12248000,12605000,13735000,14969000,18330000,18143000,18220000,17993000,18977000,21214000,20355000,21649000,21825000
12055,GovAid,7224000,8083000,8214000,8735000,9286000,11109000,10745000,10564000,10329000,10850000,12012000,11511000,12214000,12110000
12057,GovAid,82728000,93612000,96119000,103170000,110243000,132521000,128475000,126127000,123962000,133003000,150176000,148682000,159535000,162431000
12059,GovAid,1413000,1581000,1596000,1702000,1779000,2101000,2022000,1983000,1939000,2042000,2245000,2150000,2260000,2266000
12061,GovAid,9318000,10508000,10772000,11557000,12475000,14881000,14465000,14388000,14183000,15088000,16918000,16341000,17579000,17875000
12063,GovAid,3404000,3741000,3747000,3920000,4116000,4897000,4665000,4557000,4434000,4678000,5173000,4924000,5156000,5247000
12065,GovAid,995000,1099000,1142000,1219000,1278000,1514000,1461000,1412000,1400000,1489000,1664000,1575000,1648000,1651000
12067,GovAid,481000,547000,557000,585000,618000,743000,728000,708000,695000,744000,842000,815000,882000,892000
12069,GovAid,17502000,20256000,21123000,23192000,25422000,31137000,30983000,31015000,30563000,32520000,36420000,35316000,37982000,39155000
12071,GovAid,36804000,42204000,43856000,47937000,52281000,64699000,64240000,64742000,63610000,67393000,75860000,74103000,80536000,82299000
12073,GovAid,19040000,21354000,21655000,23175000,24512000,29041000,27960000,27553000,27047000,28829000,32334000,31313000,34008000,33930000
12075,GovAid,2856000,3200000,3280000,3508000,3739000,4453000,4332000,4289000,4238000,4488000,4971000,4710000,4999000,5022000
12077,GovAid,466000,522000,534000,565000,594000,710000,695000,689000,685000,724000,803000,766000,799000,801000
12079,GovAid,1429000,1587000,1573000,1657000,1739000,2028000,1943000,1887000,1836000,1931000,2144000,2038000,2145000,2119000
12081,GovAid,21787000,24707000,25443000,27464000,29479000,35604000,34448000,33753000,33095000,35236000,39496000,38412000,41678000,42716000
12083,GovAid,21260000,23907000,24578000,26632000,28769000,34966000,34465000,34423000,33964000,35999000,40053000,38578000,41198000,41742000
12085,GovAid,10401000,11733000,12037000,13005000,13813000,16347000,15445000,15182000,14853000,15802000,17725000,17138000,18379000,18649000
12086,GovAid,185756000,207973000,210758000,223766000,234808000,276696000,263975000,257389000,252612000,270377000,305656000,301172000,324983000,327006000
12087,GovAid,6553000,7198000,7169000,7508000,7703000,8751000,8041000,7706000,7470000,7883000,8825000,8565000,9191000,9776000
