FIPS,county_state,year,pop
45001,"Abbeville County, South Carolina",2000,26229
45001,"Abbeville County, South Carolina",2001,26330
45001,"Abbeville County, South Carolina",2002,26311
45001,"Abbeville County, South Carolina",2003,26306
45001,"Abbeville County, South Carolina",2004,26235
45001,"Abbeville County, South Carolina",2005,25995
45001,"Abbeville County, South Carolina",2006,25821
45001,"Abbeville County, South Carolina",2007,25745
45001,"Abbeville County, South Carolina",2008,25699
45001,"Abbeville County, South Carolina",2009,25614
45001,"Abbeville County, South Carolina",2010,25328
45001,"Abbeville County, South Carolina",2011,25081
45001,"Abbeville County, South Carolina",2012,25019
45001,"Abbeville County, South Carolina",2013,24899
45001,"Abbeville County, South Carolina",2014,24795
22001,"Acadia Parish, Louisiana",2000,58795
22001,"Acadia Parish, Louisiana",2001,58844
22001,"Acadia Parish, Louisiana",2002,59065
22001,"Acadia Parish, Louisiana",2003,59194
22001,"Acadia Parish, Louisiana",2004,59223
22001,"Acadia Parish, Louisiana",2005,59524
22001,"Acadia Parish, Louisiana",2006,60522
22001,"Acadia Parish, Louisiana",2007,60762
22001,"Acadia Parish, Louisiana",2008,61115
22001,"Acadia Parish, Louisiana",2009,61451
22001,"Acadia Parish, Louisiana",2010,61877
22001,"Acadia Parish, Louisiana",2011,61865
22001,"Acadia Parish, Louisiana",2012,61997
22001,"Acadia Parish, Louisiana",2013,62299
22001,"Acadia Parish, Louisiana",2014,62667
51001,"Accomack County, Virginia",2000,38215
51001,"Accomack County, Virginia",2001,37742
51001,"Accomack County, Virginia",2002,37308
51001,"Accomack County, Virginia",2003,36742
51001,"Accomack County, Virginia",2004,36310
51001,"Accomack County, Virginia",2005,35835
51001,"Accomack County, Virginia",2006,35192
51001,"Accomack County, Virginia",2007,34553
51001,"Accomack County, Virginia",2008,33970
51001,"Accomack County, Virginia",2009,33415
51001,"Accomack County, Virginia",2010,33148
51001,"Accomack County, Virginia",2011,33225
51001,"Accomack County, Virginia",2012,33268
51001,"Accomack County, Virginia",2013,32969
51001,"Accomack County, Virginia",2014,32971
16001,"Ada County, Idaho",2000,303328
16001,"Ada County, Idaho",2001,313896
16001,"Ada County, Idaho",2002,321616
16001,"Ada County, Idaho",2003,327393
16001,"Ada County, Idaho",2004,334926
16001,"Ada County, Idaho",2005,348755
16001,"Ada County, Idaho",2006,363498
16001,"Ada County, Idaho",2007,375368
16001,"Ada County, Idaho",2008,382618
16001,"Ada County, Idaho",2009,388577
16001,"Ada County, Idaho",2010,393354
16001,"Ada County, Idaho",2011,401262
16001,"Ada County, Idaho",2012,408862
16001,"Ada County, Idaho",2013,415951
16001,"Ada County, Idaho",2014,425471
19001,"Adair County, Iowa",2000,8223
19001,"Adair County, Iowa",2001,8132
19001,"Adair County, Iowa",2002,8059
19001,"Adair County, Iowa",2003,8050
19001,"Adair County, Iowa",2004,8019
19001,"Adair County, Iowa",2005,7932
19001,"Adair County, Iowa",2006,7924
19001,"Adair County, Iowa",2007,7871
19001,"Adair County, Iowa",2008,7747
19001,"Adair County, Iowa",2009,7676
19001,"Adair County, Iowa",2010,7679
19001,"Adair County, Iowa",2011,7546
19001,"Adair County, Iowa",2012,7468
19001,"Adair County, Iowa",2013,7387
19001,"Adair County, Iowa",2014,7368
21001,"Adair County, Kentucky",2000,17327
21001,"Adair County, Kentucky",2001,17584
21001,"Adair County, Kentucky",2002,17762
21001,"Adair County, Kentucky",2003,17924
