GEOID,year,total_wind_score
01001,2004,100.57308026651874
01003,2004,220.5302435910138
01005,2004,89.68391288934184
01007,2004,71.16462838230001
01009,2004,0
01011,2004,96.09708741555401
01013,2004,105.61625673715912
01015,2004,0
01017,2004,7.666227115042105
01019,2004,0
01021,2004,73.59168445234425
01023,2004,116.36685858143673
01025,2004,155.00159239765927
01027,2004,6.783057551757665
01029,2004,0
01031,2004,118.1361071029061
01033,2004,0
01035,2004,139.03389003050674
01037,2004,34.0000000092802
01039,2004,130.08315406359327
01041,2004,87.53992313954024
01043,2004,0
01045,2004,102.36477546938376
01047,2004,116.21831767570261
01049,2004,0
01051,2004,43.45879592227054
01053,2004,149.11457987671102
01055,2004,0
01057,2004,16.82675084538832
01059,2004,0
01061,2004,130.10892219412648
01063,2004,89.82948266635185
01065,2004,99.64584014180805
01067,2004,124.37128717599556
01069,2004,155.12961112019
01071,2004,0
01073,2004,20.474110022317113
01075,2004,10.70119178913565
01077,2004,0
01079,2004,0
01081,2004,44.842688233536364
01083,2004,0
01085,2004,102.7575410934441
01087,2004,66.38678424832817
01089,2004,0
01091,2004,120.82592412043883
01093,2004,0
01095,2004,0
01097,2004,201.48501301448005
01099,2004,153.72632996482568
01101,2004,72.23816204260758
01103,2004,0
01105,2004,110.87739439356048
01107,2004,38.20147639230224
01109,2004,101.50863718872057
01111,2004,0
01113,2004,49.97544574416676
01115,2004,0.19706839910101215
01117,2004,38.352598803302755
01119,2004,102.8027692867388
01121,2004,12.879733539700052
01123,2004,28.420562109325214
01125,2004,53.4078698322858
01127,2004,5.894165856691273
01129,2004,149.60342921161907
01131,2004,134.57426520432364
01133,2004,0
04001,2004,0
04003,2004,0
04005,2004,0
04007,2004,0
04009,2004,0
04011,2004,0
04012,2004,0
04013,2004,0
04015,2004,0
04017,2004,0
04019,2004,0
04021,2004,0
04023,2004,0
04025,2004,0
04027,2004,0
05001,2004,0
05003,2004,0
05005,2004,0
05007,2004,0
05009,2004,0
05011,2004,0
05013,2004,0
05015,2004,0
05017,2004,0
05019,2004,0
05021,2004,0
05023,2004,0
05025,2004,0
05027,2004,0
05029,2004,0
05031,2004,0
05033,2004,0
05035,2004,0
05037,2004,0
05039,2004,0
05041,2004,0
05043,2004,0
05045,2004,0
05047,2004,0
05049,2004,0
05051,2004,0
05053,2004,0
05055,2004,0
05057,2004,0
05059,2004,0
05061,2004,0
05063,2004,0
05065,2004,0
05067,2004,0
05069,2004,0
05071,2004,0
05073,2004,0
05075,2004,0
05077,2004,0
05079,2004,0
05081,2004,0
05083,2004,0
05085,2004,0
05087,2004,0
05089,2004,0
05091,2004,0
05093,2004,0
05095,2004,0
05097,2004,0
05099,2004,0
05101,2004,0
05103,2004,0
05105,2004,0
05107,2004,0
05109,2004,0
05111,2004,0
05113,2004,0
05115,2004,0
05117,2004,0
05119,2004,0
05121,2004,0
05123,2004,0
05125,2004,0
05127,2004,0
05129,2004,0
05131,2004,0
05133,2004,0
05135,2004,0
05137,2004,0
05139,2004,0
05141,2004,0
05143,2004,0
05145,2004,0
05147,2004,0
05149,2004,0
06001,2004,0
06003,2004,0
06005,2004,0
06007,2004,0
06009,2004,0
06011,2004,0
06013,2004,0
06015,2004,0
06017,2004,0
06019,2004,0
06021,2004,0
06023,2004,0
06025,2004,0
06027,2004,0
06029,2004,0
06031,2004,0
06033,2004,0
06035,2004,0
06037,2004,0
06039,2004,0
06041,2004,0
06043,2004,0
06045,2004,0
06047,2004,0
06049,2004,0
06051,2004,0
06053,2004,0
06055,2004,0
06057,2004,0
06059,2004,0
06061,2004,0
06063,2004,0
06065,2004,0
06067,2004,0
06069,2004,0
06071,2004,0
06073,2004,0
06075,2004,0
06077,2004,0
06079,2004,0
06081,2004,0
06083,2004,0
06085,2004,0
06087,2004,0
06089,2004,0
06091,2004,0
06093,2004,0
06095,2004,0
06097,2004,0
06099,2004,0
06101,2004,0
06103,2004,0
06105,2004,0
06107,2004,0
06109,2004,0
06111,2004,0
06113,2004,0
06115,2004,0
08001,2004,0
08003,2004,0
08005,2004,0
08007,2004,0
08009,2004,0
08011,2004,0
08013,2004,0
08014,2004,0
08015,2004,0
08017,2004,0
08019,2004,0
08021,2004,0
08023,2004,0
08025,2004,0
08027,2004,0
08029,2004,0
08031,2004,0
08033,2004,0
08035,2004,0
08037,2004,0
08039,2004,0
08041,2004,0
