disasterNumber,storm
4099,SANDY
4095,SANDY
4093,SANDY
4092,SANDY
4097,SANDY
4091,SANDY
4089,SANDY
4086,SANDY
4085,SANDY
4081,ISACC
4090,SANDY
4087,SANDY
4082,ISACC
4084,ISACC
4080,ISACC
4096,SANDY
4034,IRENE
4032,IRENE
4037,IRENE
4028,IRENE
4027,IRENE
4026,IRENE
4036,IRENE
4025,IRENE
4024,IRENE
4023,IRENE
4022,IRENE
4021,IRENE
4020,IRENE
4019,IRENE
1603,KATRINA
1602,KATRINA
1595,DENNIS
1594,DENNIS
1593,DENNIS
1604,KATRINA
1931,ALEX
1866,IDA
1806,GUSTAV
1794,GUSTAV
1792,IKE
1791,IKE
1789,GUSTAV
1786,GUSTAV
1780,DOLLY
1608,OPHELIA
1607,RITA
1606,RITA
1609,WILMA
1605,KATRINA
1566,FRANCES
1561,JEANNE
1560,FRANCES
1554,IVAN
1553,IVAN
1551,IVAN
1550,IVAN
1549,IVAN
1548,IVAN
1546,FRANCES
1545,FRANCES
1539,CHARLEY
1543,CHARLEY
1496,ISABEL
1494,ISABEL
1492,ISABEL
1491,ISABEL
1490,ISABEL
1493,ISABEL
1495,HENRI
1479,CLAUDETTE
1437,LILI
1436,ISIDORE
1435,ISIDORE
1438,ISIDORE
